video_id,text,author,published,region,language
VZGuI05udzk,Best,@MuhammadYousaf-f8z4x,2025-06-19T19:41:58Z,IN,undetected
VZGuI05udzk,"trying to break a.i. with a paradox. as in cartoons.

AI Overview


+1
The answer to the riddle ""What gets wetter when it dries?"" is a towel. 
When a towel is used to dry something, it absorbs the moisture, becoming wetter in the process. This is the opposite of how most things behave when they dry.",@Speedjuughait,2025-06-16T16:05:18Z,IN,en
VZGuI05udzk,Admi idhar decurde nahi kar pa rha hay ki ai sikhe ki govt job ke liye jae jo ki modi sarkar nahi de raha ahy upar se caste bhi mind me hay engalnd newpyonk chala janae ko man kart ahay lekin paiss nahi hay,@karanjena1766,2025-06-14T03:32:45Z,IN,so
VZGuI05udzk,"Generative AI tech is evolving so fast—it’s amazing how it can now create text, images, code, and even music with such accuracy. What really helps is understanding the foundation and trying things out hands-on. I’ve been exploring tools like GPT, DALL·E, and LangChain through GenAI99, and it’s been a great way to connect theory with real-world applications.",@GenAI99,2025-06-13T06:01:42Z,IN,en
VZGuI05udzk,Ultron💀,@mylifewithcreativity5959,2025-06-04T06:31:55Z,IN,it
VZGuI05udzk,"Rajnikant's film is based on a sci novel called ""En Iniya Enthira"" by one of the tallest tamil novelist Sujatha written in the mid ninetees.",@sridharr4251,2025-05-25T14:48:11Z,IN,en
VZGuI05udzk,Thanks,@officialAk95.,2025-05-23T16:58:34Z,IN,en
VZGuI05udzk,Thank,@ll_official_himu_ll,2025-05-22T04:50:39Z,IN,en
VZGuI05udzk,Fyp,@sharadgupta8696,2025-05-20T04:47:54Z,IN,undetected
VZGuI05udzk,Ai,@AditiPriya-l8j,2025-05-20T04:31:15Z,IN,undetected
VZGuI05udzk,Mai Bhi artificial course kar Raha hu very difficult hai Yar damag khrab ho jata hai 😂,@Saqlainbrother,2025-05-14T07:37:53Z,IN,id
VZGuI05udzk,Ai  video 😮🎉❤😢😮😮,@ManvikPandey-b4n,2025-04-25T14:09:35Z,IN,es
VZGuI05udzk,Thanks di,@ajmoulhaque5977,2025-04-06T06:04:24Z,IN,af
VZGuI05udzk,❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉beautiful thankyou Allah pak thankyou for everything ❤❤❤❤❤❤❤❤❤❤❤❤❤🎉,@BhatKhalida,2025-04-05T03:11:23Z,IN,en
VZGuI05udzk,Self awareness  for Ai can destroy whole world,@HarshKumar-yx3kc,2025-04-03T12:40:19Z,IN,en
VZGuI05udzk,https://youtube.com/shorts/oeOLmwkTtCM?si=DuU5p1FFrCTx5hGR,@worldofmusic-atoz,2025-04-02T08:11:26Z,IN,undetected
VZGuI05udzk,Made pursne,@AaradhyaPawar-v8q,2025-04-02T07:02:42Z,IN,fr
VZGuI05udzk,"Does anyone also feel like this way ""
Humans made AI for fast work and they would work less 
They are making themselves more lazy by showing their intelligence amd creativity.
I don't see any benefits here 
Humans !do you wanna be like a robot ? Or a lazy human",@halfdegree,2025-03-27T14:02:14Z,IN,en
VZGuI05udzk,Maam speak slowly,@tseringmotup1132,2025-03-27T05:33:16Z,IN,af
VZGuI05udzk,Wow Ma'am amzaing speak aur samjhane ka style ❤very great,@arsalansports2842,2025-03-25T05:32:28Z,IN,en
VZGuI05udzk,Human like robot is known as humanoid.,@AnjuTikyani,2025-03-23T12:27:55Z,IN,en
VZGuI05udzk,Chat gpt gives proxy server.,@AnjuTikyani,2025-03-23T12:27:09Z,IN,en
VZGuI05udzk,Most funny thing is now a days human have to  work  like robot without emotion and robot have to behave like human with emotion 😐,@SahirRayaan,2025-03-21T15:58:55Z,IN,en
VZGuI05udzk,Givemoreknowledgeinaiandmlsir,@TotaRam-vd6pk,2025-03-21T02:17:16Z,IN,en
VZGuI05udzk,00a,@PratipalSingh-fu1jb,2025-03-19T02:26:29Z,IN,undetected
VZGuI05udzk,Didi ek or long video daliye,@krishna-o5r7s,2025-03-06T15:52:02Z,IN,af
VZGuI05udzk,See after 2-3year ai ki vajse it mai job nhi hogi berojgari badegi,@mansipawar7014,2025-03-02T05:28:51Z,IN,id
VZGuI05udzk,Can U tell  emotions ku imp ha machines ma,@YousraAmir-f3b,2025-02-15T07:48:45Z,IN,en
VZGuI05udzk,Mam plz tell me ki iske lie ky ky jruri h like coding vgera ??? Etc plz tel me,@ankitbaberwal1828,2025-02-14T08:55:34Z,IN,no
VZGuI05udzk,How,@Arrind-z3b,2025-02-06T13:33:32Z,IN,undetected
VZGuI05udzk,Kya unlimited data rakh sakte heh kya,@BistaBhuwan-e1v,2025-02-04T01:58:59Z,IN,id
VZGuI05udzk,https://youtube.com/shorts/AFYPHqbnJH0?si=xQCk4d2NFVdDcCe4Pl,@Theideawallet,2025-01-31T07:55:25Z,IN,undetected
VZGuI05udzk,"Bete aapke syllabus ka nhi he to kyu Gyan pelne aa jate ho
Ye jo sare youth ko gumrah kar rahe ho, nark me bhi jagah nhi milegi

(Acting humanly is not AI)
AI today is much better then humans in many aspects 
And obviously much faster
And chatbots are based on deep neural networks not on limited knowledge 
Even creators of these advance bots do not know what they are capable of doing 

Bolte accha ho par sahi baat sikhao",@uchihaa_kakashi,2025-01-16T17:40:08Z,IN,en
VZGuI05udzk,Khanna city i meri map vich,@Merapunjab-b9x,2024-12-27T07:23:46Z,IN,sv
VZGuI05udzk,You are best ❤❤❤,@Roshanisahani-x9s,2024-01-17T04:55:10Z,IN,fr
VZGuI05udzk,AI is dengerous for the world,@souviksenapati9800,2024-01-13T10:03:37Z,IN,en
VZGuI05udzk,Didi at least do ai 900 before doing back chodi about ai… this info is so incomplete..,@cloudwalk5873,2024-01-12T19:20:36Z,IN,en
VZGuI05udzk,Computer science students laughing when she said there are 4 concepts only from her side 😂,@mukundtapaniya7631,2024-01-10T16:59:13Z,IN,en
VZGuI05udzk,Bahut achi video thi AI ke baare me par aap didi ise topic par long video baaniye kripaya kar jisse aur jankari mile AI ke baare me .,@ankitpandey6292,2024-01-10T16:58:41Z,IN,et
VZGuI05udzk,Bahut achi video thi AI ke baare me par aap didi ise topic par long video baaniye kripaya kar jisse aur jankari mile AI ke baare me .,@ankitpandey6292,2024-01-10T16:58:33Z,IN,et
VZGuI05udzk,Jaldi comments kar deta hun likes milega 😅,@umer31100,2024-01-10T16:09:24Z,IN,et
VZGuI05udzk,If if not,@abhinavthakur7432,2024-01-10T15:50:19Z,IN,en
ad79nYk2keg,"🔥Caltech Post Graduate Program In AI And Machine Learning - https://www.simplilearn.com/artificial-intelligence-masters-program-training-course?utm_campaign=ad79nYk2keg&utm_medium=Comments&utm_source=Youtube
🔥IITK - Professional Certificate Course in Generative AI and Machine Learning (India Only) - https://www.simplilearn.com/iitk-professional-certificate-course-ai-machine-learning?utm_campaign=ad79nYk2keg&utm_medium=Comments&utm_source=Youtube
🔥Purdue - Post Graduate Program in AI and Machine Learning  - https://www.simplilearn.com/pgp-ai-machine-learning-certification-training-course?utm_campaign=ad79nYk2keg&utm_medium=Comments&utm_source=Youtube
🔥IITG - Professional Certificate Program in Generative AI and Machine Learning (India Only) - https://www.simplilearn.com/iitg-generative-ai-machine-learning-program?utm_campaign=ad79nYk2keg&utm_medium=Comments&utm_source=Youtube
🔥Caltech - AI & Machine Learning Bootcamp (US Only) - https://www.simplilearn.com/ai-machine-learning-bootcamp?utm_campaign=ad79nYk2keg&utm_medium=Comments&utm_source=Youtube",@SimplilearnOfficial,2021-09-08T12:54:19Z,IN,en
ad79nYk2keg,awesome 💫,@avinashas7821,2025-06-16T20:38:28Z,IN,af
ad79nYk2keg,nicely elaborated good work,@Ajmal-AI1976,2025-05-06T14:43:19Z,IN,en
ad79nYk2keg,"Omg thankyou , tomorrow is my cs exam and i needed this",@Kpop_Stvrlight,2025-05-04T17:30:01Z,IN,en
ad79nYk2keg,Thank you.,@JasmineDavis-u8g,2025-03-04T02:30:27Z,IN,en
ad79nYk2keg,An AI robot with citizenship,@vish5kamdi335,2025-01-13T10:49:30Z,IN,en
ad79nYk2keg,Finally! I find the best teacher!,@xiaojunwei-or8js,2025-01-03T04:48:19Z,IN,en
ad79nYk2keg,This is a well-thought-out and insightful piece! Great job putting everything together so clearly and concisely.,@GraphinklyStudio,2024-11-24T04:33:28Z,IN,en
ad79nYk2keg,Understandble explanation tnq,@meTejaswinisalavadi,2024-10-26T17:25:30Z,IN,en
ad79nYk2keg,"I find it amazing how AI can now collaborate in teams to solve complex problems. It reminds me of how human teams work together, each bringing unique skills.",@mahiaravaarava,2024-08-20T04:35:57Z,IN,en
ad79nYk2keg,"Great Video. Very simple but informative. Thank you!
Answer: D. AI developing emotions seems pretty far out. But with a little bit of life experience- who knows?",@JerryDavis-r5i,2024-07-31T08:08:53Z,IN,en
ad79nYk2keg,C,@pamelaelhage1111,2024-07-22T22:47:02Z,IN,undetected
ad79nYk2keg,A,@prakashmvs8847,2024-07-22T17:39:23Z,IN,undetected
ad79nYk2keg,Why must Al should to be involved to Machine learning,@Chandvlogs999,2024-07-17T13:34:49Z,IN,en
ad79nYk2keg,D,@SugandhaKalra-m8c,2024-07-17T12:01:09Z,IN,undetected
ad79nYk2keg,B,@villagebox5841,2024-07-16T02:58:48Z,IN,undetected
